SPECIES,LATITUDE,LONGITUDE,longlat.uncertainty,Year,Month
Atriplex velutinella,-27.126667,135.55,1000,1927,1
Atriplex nummularia,-26.933333,138.949722,30000,1934,1
Atriplex paludosa subsp. cordata,-34.932059,138.567767,10000,1924,1
Atriplex leptocarpa,-34.933333,139.333333,1000,1986,1
Atriplex cinerea,-35.583333,138.583333,10000,1926,1
Atriplex cinerea,-35.583333,138.583333,10000,1928,1
Atriplex eardleyae,-33.165388,138.034418,1000,1993,1
Atriplex leptocarpa,-33.165388,138.034418,1000,1993,1
Atriplex lindleyi subsp. inflata,-33.332055,137.984421,1000,1997,1
Atriplex limbata,-27.133333,135.55,1000,1927,1
Atriplex suberecta,-31.733333,140.35,1000,1979,1
Atriplex australasica,-36.83,139.85,10000,1997,1
Atriplex semibaccata,-34.809444,138.536111,150,1993,1
Atriplex semibaccata,-35.15,139.1,10000,1993,1
Atriplex australasica,-35.581667,138.596667,1000,1996,1
Atriplex suberecta,-34.924167,138.63,10000,1907,1
Atriplex paludosa subsp. cordata,-36.0062,139.533,10000,1997,1
Atriplex cinerea,-33.233333,134.716667,1000,1991,1
Atriplex paludosa subsp. cordata,-33.23208,134.717783,1000,1991,1
Atriplex prostrata,-34.844282,138.552488,10000,1945,2
Atriplex prostrata,-34.915671,138.498879,10000,1945,2
Atriplex prostrata,-34.915671,138.498879,10000,1945,2
Atriplex australasica,-35.578452,138.596386,10000,1937,2
Atriplex prostrata,-34.844282,138.552488,10000,1945,2
Atriplex prostrata,-34.915671,138.498879,10000,1945,2
Atriplex vesicaria,-32.065,139.382222,30000,1972,2
Atriplex suberecta,-34.898333,138.517778,10000,1972,2
Atriplex vesicaria,-30.2,131.4,10000,1972,2
Atriplex vesicaria,-30.001111,131.760278,10000,1972,2
Atriplex vesicaria,-31.312778,129.999722,30000,1972,2
Atriplex vesicaria,-29.905278,131.87,30000,1972,2
Atriplex suberecta,-34.834167,138.686111,10000,1974,2
Atriplex vesicaria,-34.033333,139.666667,10000,1968,2
